"t (s)","Inclination (deg)","Rotation (deg)"
4.073563375e1,1.121754111e0,3.508988624e0
4.123702017e1,9.621035301e-1,3.030016908e0
4.173840017e1,9.203618734e-1,2.718523988e-1
4.224713179e1,9.278041945e-1,-2.132537836e0
4.275586979e1,9.099086306e-1,-1.105515718e0
4.325714412e1,1.037943829e0,-2.270407045e0
4.375852912e1,2.255721962e0,-1.174359731e1
4.425991462e1,5.843971797e0,-5.076051790e0
4.476129962e1,8.755750788e0,-2.671512831e0
4.526268562e1,1.060313712e1,-1.908422722e0
4.626545400e1,8.808886653e-1,6.513038473e0
4.676683900e1,8.435771589e-1,2.367201950e0
4.726822342e1,8.330087969e-1,1.284795039e0
4.776904742e1,8.135836618e-1,1.064616002e0
4.827785112e1,8.984778543e-1,2.819238084e0
4.877923612e1,4.023981040e0,-1.199639473e1
4.928061725e1,7.541610548e0,-3.509997257e0
4.978200125e1,1.082646907e1,-2.207813090e0
5.028338517e1,5.633571951e0,-1.912229686e0
5.078476917e1,8.928809411e-1,4.768865042e0
5.128615212e1,8.196481510e-1,5.211072980e0
5.228891825e1,8.009526533e-1,2.067161755e0
5.279885225e1,1.125999609e0,-2.976386270e0
5.330023562e1,3.730515724e0,-7.468108761e0
5.380161862e1,6.508534764e0,-2.095403635e0
5.430300200e1,8.381210139e0,-1.644882030e0
5.480438400e1,9.355195946e0,-9.602271249e-1
5.530576600e1,4.386490837e0,-3.401287478e0
5.580714900e1,1.466440225e0,3.497396780e0
5.630853112e1,1.080303867e0,5.432443856e0
5.680991312e1,2.190548164e0,-7.850813042e0
5.731129425e1,5.066257155e0,-5.356145754e0
5.831405787e1,8.721352731e0,-1.801104861e0
5.881543887e1,2.111588543e0,-2.545043843e0
5.931681987e1,1.007815874e0,6.423083390e0
5.981820088e1,1.012699151e0,7.738314196e-1
6.031958154e1,2.336834391e0,-1.392319238e1
6.082096254e1,4.889487191e0,-8.437285318e0
6.132234425e1,6.488612931e0,-4.584952102e0
6.182372525e1,7.560971481e0,-3.646210500e0
6.232510529e1,8.107580232e0,-3.422298345e0
6.282648529e1,8.685677294e0,-3.305201502e0
6.332786500e1,9.124727327e0,-3.208143201e0
6.433062467e1,2.678670210e0,-7.307559590e0
6.483200467e1,1.232774464e0,8.270128040e-1
6.533338504e1,9.229418191e-1,5.844659652e0
6.583476404e1,1.181747657e0,-3.885510290e0
6.633614262e1,3.698591016e0,-1.878830146e1
6.683752162e1,6.037173315e0,-1.011916653e1
6.733890129e1,7.591782262e0,-6.200702544e0
6.784028167e1,8.856928747e0,-5.181077808e0
6.834165967e1,9.540963496e0,-4.293744314e0
6.884303825e1,1.021195659e1,-4.078335571e0
6.934441725e1,9.253803247e0,-4.865172181e0
7.034717437e1,1.069884353e0,4.393600336e0
7.084855137e1,8.705102190e-1,4.247217263e-1
7.134992937e1,9.357571188e-1,-5.440942793e0
7.185130792e1,9.436351235e-1,-7.306434818e-1
7.235268592e1,1.070737286e0,-2.131179149e0
7.285406375e1,3.035022250e0,-6.643305546e0
7.335544075e1,4.577143723e0,-2.815599732e0
7.385681912e1,6.569918952e0,-2.925343568e0
7.435819612e1,7.784425673e0,-2.526107411e0
7.485957267e1,8.682790118e0,-2.216294697e0
7.536095067e1,9.413060712e0,-2.097671831e0
7.636370500e1,1.041058233e0,7.554802314e0
7.686508075e1,1.066585217e0,4.170553921e0
7.736645775e1,2.234577000e0,-8.809159189e0
7.786783562e1,4.814389987e0,-4.129451242e0
7.836921162e1,7.546816359e0,-2.064093291e0
7.887058662e1,9.558858122e0,-1.773223442e0
7.937196262e1,6.870793813e0,-2.826974749e0
7.987333987e1,1.312329224e0,8.649648445e0
8.037471487e1,9.788665878e-1,1.082606500e1
8.087609137e1,9.455085373e-1,9.681149973e0
8.137746737e1,1.972525451e0,-2.118014087e0
8.238021754e1,6.682746123e0,-2.458181542e0
8.288159262e1,8.844945441e0,-1.439799659e0
8.338296862e1,5.168412473e0,-1.758905584e0
8.388434475e1,9.896510552e-1,1.269441312e1
8.438571975e1,8.686367201e-1,6.122977091e0
8.488709429e1,1.689046315e0,-6.515123355e0
8.538846929e1,4.315642349e0,-5.145773060e0
8.588984375e1,6.955263803e0,-3.480320035e0
8.639121775e1,9.402564644e0,-2.880844925e0
8.689259362e1,2.398574832e0,-2.742304208e0
8.739396762e1,9.218065269e-1,1.298228474e1
8.789534175e1,8.114799873e-1,8.295562531e0
8.839671575e1,1.493285767e0,-5.285508654e0
8.889808942e1,3.354097917e0,-6.775035965e0
8.939946342e1,5.605194293e0,-3.703058785e0
8.990083737e1,7.223245688e0,-3.065189322e0
9.040221137e1,8.643266813e0,-2.577697594e0
9.090358600e1,9.191920707e0,-2.667869772e0
9.190633612e1,1.025820872e0,7.352974546e0
9.240771013e1,1.186533897e0,2.470170494e0
9.290908087e1,3.322359947e0,-8.974665995e0
9.341045487e1,5.641266366e0,-2.905334484e0
9.391182879e1,8.068424713e0,-2.937206450e0
9.441320279e1,1.012734800e1,-1.888228616e0
9.491457725e1,6.777363840e0,-3.128980428e0
9.541595025e1,1.223308042e0,8.351441736e0
9.591732354e1,1.533402536e0,-2.160180087e0
9.641869754e1,3.486444348e0,-1.092453421e1
9.692007200e1,6.190323101e0,-4.554739601e0
9.742144500e1,8.987434520e0,-3.241767525e0
9.792282237e1,1.157062862e1,-3.201231001e0
