"t (s),""Inclination (deg)"",""Rotation (deg)"""
1.647870933e2,7.785728202e-1,-2.446753488e1
1.652957403e2,7.775074501e-1,-2.449642708e1
1.658044076e2,7.828736668e-1,-2.472588453e1
1.663130716e2,7.763236811e-1,-2.474089987e1
1.668217234e2,7.760076407e-1,-2.483015543e1
1.673304014e2,7.779126304e-1,-2.468265173e1
1.678390623e2,7.689129905e-1,-2.472588932e1
1.683477423e2,7.741342441e-1,-2.489140179e1
1.688564207e2,7.749569806e-1,-2.471516641e1
1.693650987e2,7.777918326e-1,-2.450847384e1
1.698737744e2,7.750633985e-1,-2.469376328e1
1.703824504e2,7.698103540e-1,-2.470152267e1
1.708910991e2,7.756931488e-1,-2.499938592e1
1.713997731e2,7.663405571e-1,-2.481854162e1
1.719084754e2,7.754613189e-1,-2.464817099e1
1.724171784e2,7.711056670e-1,-2.513245479e1
1.729258830e2,7.715216136e-1,-2.437075690e1
1.739433115e2,7.793448440e-1,-2.475331801e1
1.744520383e2,7.725074023e-1,-2.454820236e1
1.749607833e2,7.754496537e-1,-2.511375556e1
1.754695066e2,7.751202019e-1,-2.475914882e1
1.759782436e2,7.770525351e-1,-2.470761714e1
1.764869730e2,7.676290943e-1,-2.510698440e1
1.769956840e2,7.791713527e-1,-2.474332799e1
1.775043798e2,7.709721558e-1,-2.513502766e1
1.780130668e2,7.760453848e-1,-2.506831726e1
1.785217768e2,7.700950691e-1,-2.466774458e1
1.790305158e2,7.775481650e-1,-2.496970684e1
1.795392245e2,7.787415141e-1,-2.450608393e1
1.800479355e2,7.729683511e-1,-2.463482247e1
1.805566648e2,7.745911186e-1,-2.524888446e1
1.810653488e2,7.780020005e-1,-2.495373821e1
1.815740408e2,7.702939887e-1,-2.498565605e1
1.820827718e2,7.791550749e-1,-2.475993808e1
1.825915228e2,7.792036886e-1,-2.470399372e1
1.831002708e2,7.804875362e-1,-2.493042645e1
1.836090252e2,7.786140769e-1,-2.490452271e1
1.841177412e2,7.797074059e-1,-2.467968860e1
1.851352230e2,7.810941166e-1,-2.484241032e1
1.856439595e2,7.813362024e-1,-2.436019732e1
1.861526905e2,7.739198667e-1,-2.484968799e1
1.866614193e2,7.729665001e-1,-2.511700060e1
1.871701353e2,7.748289100e-1,-2.523329440e1
1.876788474e2,7.829448726e-1,-2.487417468e1
1.881875444e2,7.819864452e-1,-2.450499285e1
1.886962201e2,7.747844464e-1,-2.500282626e1
1.892049291e2,7.780309581e-1,-2.435062765e1
1.897136409e2,7.704203559e-1,-2.467208605e1
1.902223309e2,7.800971818e-1,-2.543009245e1
1.907310260e2,7.811276636e-1,-2.487872395e1
1.912397420e2,7.738764881e-1,-2.498041288e1
1.917484536e2,7.770576938e-1,-2.476459681e1
1.922571576e2,7.730847519e-1,-2.488435806e1
1.927658660e2,7.751040886e-1,-2.479486529e1
1.932745820e2,7.817416707e-1,-2.483344619e1
1.937832727e2,7.761518394e-1,-2.479030963e1
1.942919417e2,7.825666440e-1,-2.519683181e1
1.948006268e2,7.769452492e-1,-2.510574998e1
1.953093158e2,7.744624149e-1,-2.558477807e1
1.958179853e2,7.776669487e-1,-2.521718390e1
1.963266833e2,7.753229194e-1,-2.441637878e1
1.973440436e2,7.777170960e-1,-2.501750623e1
1.978527163e2,7.754924338e-1,-2.455085212e1
1.983613683e2,7.819839273e-1,-2.513356083e1
1.988700408e2,7.794868002e-1,-2.476135879e1
1.993787078e2,7.738681864e-1,-2.478813277e1
1.998873861e2,7.842479012e-1,-2.479832025e1
2.003960371e2,7.722232655e-1,-2.535230899e1
2.009046749e2,7.833240981e-1,-2.457999161e1
2.014133379e2,7.756838581e-1,-2.465307712e1
2.019220109e2,7.713608334e-1,-2.453280013e1
2.024306509e2,7.794375192e-1,-2.488743537e1
2.029393217e2,7.798093063e-1,-2.463783511e1
2.034480157e2,7.792237388e-1,-2.458354527e1
2.039566893e2,7.737811458e-1,-2.507593342e1
2.044653473e2,7.829834760e-1,-2.533551370e1
2.049740480e2,7.783595036e-1,-2.442634041e1
2.054827714e2,7.735237457e-1,-2.525729609e1
2.059914984e2,7.845450163e-1,-2.530319651e1
2.065002323e2,7.729474942e-1,-2.461013186e1
2.070089473e2,7.810810118e-1,-2.501826597e1
2.075176824e2,7.685040245e-1,-2.507780931e1
2.080264054e2,7.764571302e-1,-2.496749357e1
2.085351058e2,7.734020559e-1,-2.489498201e1
2.095525696e2,7.776316692e-1,-2.466861169e1
2.100613066e2,7.731061067e-1,-2.553775405e1
2.105700360e2,7.724412715e-1,-2.504696814e1
2.110787790e2,7.815078722e-1,-2.481143918e1
2.115875353e2,7.801219077e-1,-2.498582156e1
2.120962423e2,7.810551953e-1,-2.493621286e1
2.126049620e2,7.773640493e-1,-2.504708133e1
2.131136910e2,7.711230147e-1,-2.489660828e1
2.136224012e2,7.691699581e-1,-2.492785209e1
2.141311392e2,7.803305158e-1,-2.536149976e1
2.146398900e2,7.737776659e-1,-2.466159351e1
2.151486170e2,7.774736674e-1,-2.436125423e1
2.156573448e2,7.795237623e-1,-2.495958717e1
2.161660758e2,7.762480940e-1,-2.528805869e1
2.166747864e2,7.744113569e-1,-2.480901593e1
2.171834654e2,7.851731489e-1,-2.518628660e1
2.176921304e2,7.822343803e-1,-2.464290237e1
2.182008204e2,7.768964306e-1,-2.491270286e1
2.187095079e2,7.754584393e-1,-2.498594093e1
2.192182099e2,7.767260564e-1,-2.460962162e1
2.197268744e2,7.763858611e-1,-2.463284994e1
2.202355584e2,7.712621188e-1,-2.463731360e1
2.212529459e2,7.769836462e-1,-2.516600208e1
2.217616375e2,7.771311711e-1,-2.497389515e1
2.222703175e2,7.827136461e-1,-2.501004456e1
2.227789662e2,7.744108880e-1,-2.493367739e1
2.232876242e2,7.717581008e-1,-2.472749759e1
2.237962974e2,7.790435442e-1,-2.486025215e1
2.243049944e2,7.759262447e-1,-2.455647374e1
2.248136865e2,7.769698034e-1,-2.500233129e1
2.253223485e2,7.751312564e-1,-2.480267764e1
2.258310532e2,7.727494979e-1,-2.480017740e1
2.263397312e2,7.727184534e-1,-2.481185583e1
2.268484267e2,7.740792999e-1,-2.476846968e1
2.273571247e2,7.773851962e-1,-2.463687125e1
2.278658293e2,7.768969762e-1,-2.506373675e1
2.283745173e2,7.719305523e-1,-2.475087993e1
2.288831980e2,7.746224716e-1,-2.544271909e1
2.293918990e2,7.720905671e-1,-2.505593265e1
2.299005809e2,7.747566910e-1,-2.475523423e1
2.304092859e2,7.747264772e-1,-2.451515344e1
2.309179934e2,7.721402306e-1,-2.470709367e1
2.314266614e2,7.699319997e-1,-2.470412871e1
2.319353248e2,7.804329799e-1,-2.508824312e1
2.329526863e2,7.758027196e-1,-2.519233009e1
2.334613593e2,7.777368752e-1,-2.511085366e1
2.339700203e2,7.786409235e-1,-2.503303471e1
2.344787203e2,7.792080488e-1,-2.475454962e1
2.349874198e2,7.731641338e-1,-2.511072164e1
2.354961428e2,7.780643505e-1,-2.463249121e1
2.360048772e2,7.774037424e-1,-2.489330653e1
2.365135924e2,7.751327833e-1,-2.457047622e1
2.370223194e2,7.759922720e-1,-2.482526848e1
